,Clause,origClause,mainVerb,mainReferent,contrastVerb,Contrast,predictions,Strategy
35,"Youngstown also acted as a major railway crossroads, due to its strategic position between Cleveland, Pittsburgh, New York, and Chicago.","Youngstown also was a major railway crossroads, due to its strategic position between Cleveland, Pittsburgh, New York, and Chicago.",was,Youngstown,acted,DYNAMIC,['DYNAMIC'],participant
36,"In fact, The Center Street Bridge had more rail cars [a major bridge in Youngstown] on any given day than any other location in the country.","In fact, more rail cars passed under the Center Street Bridge [a major bridge in Youngstown] per day than any other location in the country. ",passed,cars,had,STATIVE,['STATIVE'],light_verb
37,"During the 19th century, the center of iron manufacturing wasn’t in the far East Coast anymore.","During the 19th century, the center of iron manufacturing had gradually shifted from the far East Coast",shifted,center,wasn't,STATIVE,['STATIVE'],copula
38,"(Massachusetts and Eastern Pennsylvania) to the Ohio Valley Pittsburgh regions of the Northeast, including the Mahoning Valley and the Hanging Rock region of Ohio and Kentucky.","(Massachusetts and Eastern Pennsylvania) to the Ohio Valley Pittsburgh regions of the Northeast, including the Mahoning Valley and the Hanging Rock region of Ohio and Kentucky.",including,,,STATIVE,['CANNOT_DECIDE'],
39,"By 1880, Youngstown’s population was nearly 16,000,","By 1880, Youngstowns population had grown to nearly 16,000,",grown,population,was,STATIVE,['STATIVE'],copula
40,which meant,which meant,meant,"16,000",,STATIVE,['STATIVE'],
41,it had doubled in size over a twenty-year period.,it had doubled in size over a twenty-year period.,doubled,it,,DYNAMIC,['DYNAMIC'],
42,"The town was very prosperous,","The town continued to prosper,",continued,town,was,STATIVE,['STATIVE'],copula
43,driven by the flux of immigrants,driven by the flux of immigrants,driven,continued,,STATIVE,['DYNAMIC'],
44,pouring in with the hopes of employment at the mills.,pouring in with the hopes of employment at the mills.,pouring,immigrants,,DYNAMIC,['DYNAMIC'],
45,"This prosperity lingered until the late 1920s,","This prosperity continued until the late 1920s,",continued,prosperity,lingered,DYNAMIC,['DYNAMIC'],participant
46,when the Great Depression hit the area hard.,when the Great Depression hit the area hard.,hit,Depression,,DYNAMIC,['DYNAMIC'],
47,"Despite the Congress of Industrial Organizations successful efforts to establish a national steel workers union,","Despite the Congress of Industrial Organizations successful efforts to establish a national steel workers union,",establish,efforts,,CANNOT_DECIDE,['DYNAMIC'],
48,the industry barely survived the Depression years.,the industry barely survived the Depression years.,survived,industry,,DYNAMIC,['DYNAMIC'],
49,"Finally, due to the outbreak of the Second World War, iron and steel were important again,","Finally, the outbreak of the Second World War made iron and steel important again,",made,outbreak,were,STATIVE,['DYNAMIC'],copula
50,and Youngstown was bolstered out of its economic standstill into a fast-paced period of booming growth.,and Youngstown was bolstered out of its economic standstill into a fast-paced period of booming growth.,bolstered,outbreak,,DYNAMIC,['DYNAMIC'],
51,"Youngstown may have enjoyed prominence and prosperity in the post-war period,","Youngstown may have been an important and prosperous region in the post-war period,",been,Youngstown,,DYNAMIC,['DYNAMIC'],insert_verb
52,but the seeds for its downfall were slowly being sown.,but the seeds for its downfall were slowly being sown.,sown,region,,DYNAMIC,['DYNAMIC'],
53,"There were strikes in the town during the forties, fifties, and sixties,","Strikes racked the town during the forties, fifties, and sixties,",racked,Strikes,were,STATIVE,['DYNAMIC'],copula
54,and they were often long and bloody.,and they were often long and bloody.,were,they,,STATIVE,['STATIVE'],
55,"In 1973, the Experimental Negotiating Agreement was signed.","In 1973, the Experimental Negotiating Agreement was signed.",signed,Agreement,,DYNAMIC,['DYNAMIC'],
56,"Strikes and lockout were forbidden actions,","This prohibited strikes and lockout,",prohibited,This,were,STATIVE,['STATIVE'],copula
57,angering workers,angering workers,angering,prohibited,,DYNAMIC,['CANNOT_DECIDE'],
58,and driving productivity and laborer morale down.,and driving productivity and laborer morale down.,driving,prohibited,,DYNAMIC,['DYNAMIC'],
59,"At the same time, stricter governmental standards for environmental protection and the growth of imported steel were obstacles to producing and marketing American steel parts,","At the same time, stricter governmental standards for environmental protection and the growth of imported steel were making it harder to produce and market American steel parts,",making,standards,were,STATIVE,['DYNAMIC'],copula
60,and the overeager shareholders in the companies stock were pushing for more and more of their share of the pie.,and the overeager shareholders in the companies stock were pushing for more and more of their share of the pie.,pushing,standards,,DYNAMIC,['DYNAMIC'],
61,"Most importantly, Youngstown’s steel mills were now less efficient and more expensive.","Most importantly, Youngstowns steel mills were slowly becoming less efficient and more expensive.",becoming,mills,were,STATIVE,['DYNAMIC'],copula
62,Old technology was untouched,"Old technology was not replaced,",replaced,technology,was,STATIVE,['STATIVE'],copula
63,"obsolete methods were not updated,","obsolete methods were not updated,",updated,technology,,DYNAMIC,['DYNAMIC'],
64,and almost none of the industrys profits were being utilized to help modernize.,and almost none of the industrys profits were being utilized to help modernize.,utilized,technology,,DYNAMIC,['STATIVE'],
65,These failures propelled the industry certain doom,It was a recipe for disaster,was,It,propelled,DYNAMIC,['DYNAMIC'],participant
66,that would soon explode in the faces of hundreds of thousands of workers and their families.,that would soon explode in the faces of hundreds of thousands of workers and their families.,explode,recipe,,DYNAMIC,['DYNAMIC'],
67,Black Monday and the Crash of the Steel Industry,Black Monday and the Crash of the Steel Industry,,,,CANNOT_DECIDE,['CANNOT_DECIDE'],
68,"The announcement of the closing of the mills in 1977 started a downward spiral,","The announcement of the closing of the mills in 1977 was the beginning of a downward spiral,",was,Crash,started,DYNAMIC,['DYNAMIC'],participant
69,which would send the entire valley into chaos and ruin.,which would send the entire valley into chaos and ruin.,send,spiral,,DYNAMIC,['DYNAMIC'],
70,The number of mill closings included at least five times between 1977 and 1981.,"Between 1977 and 1981, a total of five mills were closed",closed,total,included,STATIVE,['DYNAMIC'],descriptive
71,"and approximately 25,000 jobs were lost countywide.","and approximately 25,000 jobs were lost countywide.",lost,total,,DYNAMIC,['DYNAMIC'],
72,Union officials and mill bosses were in hurried meetings in an attempt to persuade the powers,Meetings of union officials and mill bosses were hurriedly set up in an attempt to persuade the powers,set,Meetings,were,STATIVE,['DYNAMIC'],copula
73,that be to reconsider their statement.,that be to reconsider their statement.,be,powers,,CANNOT_DECIDE,['CANNOT_DECIDE'],
74,"However, it became clear","However, it was clear",was,it,became,DYNAMIC,['DYNAMIC'],becoming
75,"that, in the words of USWA president Lloyd McBride, If","that, in the words of USWA president Lloyd McBride, If",,,,CANNOT_DECIDE,['DYNAMIC'],
76,"you cant make a buck,","you cant make a buck,",make,you,,DYNAMIC,['DYNAMIC'],
77,you get out of the business.,you get out of the business.,get,you,,DYNAMIC,['DYNAMIC'],
78,"The closings accelerated the end of Youngstown’s only real industry, the end of its population growth, and then end of economic progress.","The closings meant the end of Youngstowns only real industry, the end of its population growth, and then end of economic progress.",meant,closings,accelerated,DYNAMIC,['DYNAMIC'],participant
79,"Without the mills, people needed other places of employment in adjoining states or even other areas of the country.","Without the mills, people sought other places of employment in adjoining states or even other areas of the country.",sought,people,needed,STATIVE,['DYNAMIC'],thought
80,People who could afford to soundly desired to move.,Those that could afford to move did so;,did,Those,desired,STATIVE,['DYNAMIC'],thought
81,those that couldnt afford to move mostly ended up on the streets.,those that couldnt afford to move mostly ended up on the streets.,ended,those,,DYNAMIC,['DYNAMIC'],
82,"Without an industrial or a residential base, commerce was down considerably.","Without an industrial or a residential base, commerce shrank considerably.",shrank,commerce,was,STATIVE,['STATIVE'],copula
83,It was increasingly clear,It was becoming increasingly clear,becoming,It,was,STATIVE,['STATIVE'],copula
84,that without the industrial base provided,that without the industrial base provided,provided,base,,CANNOT_DECIDE,['STATIVE'],
85,"by the mills, the city of Youngstown would soon become a ghost town,","by the mills, the city of Youngstown would soon become a ghost town,",become,city,,DYNAMIC,['STATIVE'],
86,inhabited by those too poor or hopeful to escape.,inhabited by those too poor or hopeful to escape.,inhabited,town,,STATIVE,['STATIVE'],
87,The workers knew,The workers decided,decided,workers,knew,STATIVE,['DYNAMIC'],thought
88,"they needed to do something to save their city,","they needed to do something to save their city,",needed,they,,STATIVE,['STATIVE'],
89,and so they mobilized in a variety of ways.,and so they mobilized in a variety of ways.,mobilized,they,,DYNAMIC,['DYNAMIC'],
90,Attempts to Save the Mills,Attempts to Save the Mills,Save,Attempts,,CANNOT_DECIDE,['CANNOT_DECIDE'],
91,"The very first thing that the workers could do was highlighted as “getting up a petition to stop the shutdown,","The very first thing that the workers could do was to get up a petition to stop the shutdown,",“,Attempts,highlighted,DYNAMIC,['DYNAMIC'],participant
92," says Ed Mann, a local union leader and organizer."," says Ed Mann, a local union leader and organizer.",says,”,,DYNAMIC,['DYNAMIC'],
93,They had a petition go around,"The petition was circulated,",circulated,petition,had,STATIVE,['DYNAMIC'],light_verb
94,eventually including thousands of signatures;,eventually including thousands of signatures;,including,circulated,,STATIVE,['DYNAMIC'],
95,it was then given to USWA representatives to present to President Carter in Washington.,it was then given to USWA representatives to present to President Carter in Washington.,given,it,,DYNAMIC,['DYNAMIC'],
96,"However, the representatives were unhappy","However, the representatives were shunted to the side",shunted,representatives,were,STATIVE,['DYNAMIC'],copula
97,"and ignored in Washington,","and ignored in Washington,",ignored,representatives,,DYNAMIC,['DYNAMIC'],
98,since Youngstowns political influence had died with its industry.,since Youngstowns political influence had died with its industry.,died,influence,,DYNAMIC,['DYNAMIC'],
99,"The International chapter of the USWA held much more lobbying power,","The International chapter of the USWA had much more lobbying power,",had,chapter,held,DYNAMIC,['DYNAMIC'],participant
100,but they refused to support the local union members.,but they refused to support the local union members.,refused,chapter,,DYNAMIC,['DYNAMIC'],
101,The petition was a needle in a haystack amongst paperwork and bureaucratic procedure.,The petition was lost among paperwork and bureaucratic procedure.,lost,petition,was,STATIVE,['STATIVE'],copula
102,The Ecumenical Coalition is an organization,"Next, workers decided to form the Ecumenical Coalition, an organization",decided,workers,is,STATIVE,['STATIVE'],copula
103,of local religious groups which spearheaded the attempt to reopen the Youngstown works.,of local religious groups which spearheaded the attempt to reopen the Youngstown works.,spearheaded,groups,,DYNAMIC,['DYNAMIC'],
104,The Coalition drafters wanted to know,The Coalition drafter letters to the Lykes Company asking,drafter,Coalition,wanted,STATIVE,['STATIVE'],thought
105,if a group of workers might purchase the mill,if a group of workers might purchase the mill,purchase,group,,DYNAMIC,['DYNAMIC'],
106,and run it collectively.,and run it collectively.,run,group,,DYNAMIC,['DYNAMIC'],
107,The letters remained unread by Lykes,"Lykes ignored the letters,",ignored,Lykes,remained,STATIVE,['DYNAMIC'],descriptive
108,so the Coalition turned once again to the federal government.,so the Coalition turned once again to the federal government.,turned,Coalition,,DYNAMIC,['DYNAMIC'],
109,"Here, too, they were a people unheeded.","Here, too, they were ignored.",ignored,they,were,STATIVE,['STATIVE'],copula
110,The Coalition were still begging for proper funds to buy the mills,"The Coalition had no proper funds to buy the mills,",had,Coalition,begging,DYNAMIC,['DYNAMIC'],participant
111,so they could do nothing,so they could do nothing,do,they,,DYNAMIC,['DYNAMIC'],
112,but sit back,but sit back,sit,they,,DYNAMIC,['CANNOT_DECIDE'],
113,and watch,and watch,watch,they,,DYNAMIC,['DYNAMIC'],
114,as the mills closed.,as the mills closed.,closed,mills,,DYNAMIC,['DYNAMIC'],
115,"Finally, following the shutdown of US Steel’s plant in 1980, local union leaders were outside the US Steel Headquarters in Youngstown.","Finally, following the shutdown of US Steels plant in 1980, local union leaders congregated outside the US Steel Headquarters in Youngstown.",following,,were,STATIVE,['DYNAMIC'],copula
116,"They depended on local people and politicians to witness the scene,","They invited local people and politicians to witness the scene,",invited,They,depended,STATIVE,['DYNAMIC'],participant
117,then charged the Headquarters,then charged the Headquarters,charged,They,,DYNAMIC,['DYNAMIC'],
118,and took it over.,and took it over.,took,They,,DYNAMIC,['DYNAMIC'],
119,The workers were there until the next day.,"The workers stayed there until the next day,",stayed,workers,were,STATIVE,['DYNAMIC'],copula
120,when US Steel declared,when US Steel declared,declared,Steel,,DYNAMIC,['DYNAMIC'],
121,that they were ready to talk about selling the mill.,that they were ready to talk about selling the mill.,were,they,,STATIVE,['STATIVE'],
122,"Immediately after the workers left the building, US steel representatives wanted to let the local union leaders know","Immediately after the workers left the building, US steel representatives told the local union leaders",told,representatives,wanted,STATIVE,['DYNAMIC'],thought
123,that they had changed their minds,that they had changed their minds,changed,they,,DYNAMIC,['DYNAMIC'],
124,and were no longer interested in allowing the workers to purchase the mill.,and were no longer interested in allowing the workers to purchase the mill.,were,they,,STATIVE,['DYNAMIC'],
125,"All these efforts eventually were for nothing,","All these efforts eventually came to nothing,",came,efforts,were,STATIVE,['DYNAMIC'],copula
126,and Youngstowns steel mills remained closed.,and Youngstowns steel mills remained closed.,remained,efforts,,STATIVE,['DYNAMIC'],
127,"Several major factors existed as obstacles to saving the mills,","These attempts to save the mills were hindered by several major factors,",hindered,attempts,existed,STATIVE,['STATIVE'],descriptive
128,"including the decline of the world steel market,","including the decline of the world steel market,",including,,,STATIVE,['STATIVE'],
129,which made American steel impossible to sell or export.,which made American steel impossible to sell or export.,made,factors,,DYNAMIC,['DYNAMIC'],
130,The Decline of the World Market,The Decline of the World Market,,,,CANNOT_DECIDE,['CANNOT_DECIDE'],
131,The efforts to save the mills were for naught,The efforts to save the mills failed,failed,Decline,were,STATIVE,['STATIVE'],copula
132,partly because the international market for steel had largely dried up.,partly because the international market for steel had largely dried up.,dried,market,,DYNAMIC,['STATIVE'],
133,During World War II the rest of the world begged for America’s iron and steel products;,During World War II the rest of the world was hungry for Americas iron and steel products;,was,rest,begged,DYNAMIC,['DYNAMIC'],participant
134,"however, by the seventies no foreign nations needed to import steel in such large quantities.","however, by the seventies no foreign nations needed to import steel in such large quantities.",needed,nations,,STATIVE,['DYNAMIC'],
135,"In fact, American steel imports were now bigger than exports.","In fact, American steel imports were beginning to outweigh exports.",beginning,imports,,STATIVE,['STATIVE'],copula
136,"Foreign steel had become easier and more efficient to make,","Foreign steel was easier and more efficient to make,",was,steel,become,DYNAMIC,['DYNAMIC'],becoming
137,and was often of higher quality than domestic steel.,and was often of higher quality than domestic steel.,was,steel,,STATIVE,['STATIVE'],
138,"Foreign steel companies were heavily invested in their factories,","Foreign steel companies invested in their factories,",invested,companies,were,STATIVE,['DYNAMIC'],copula
139,updating their technology and replacing their equipment often.,updating their technology and replacing their equipment often.,updating,companies,,DYNAMIC,['DYNAMIC'],
140,This led to a new status quo:,This meant,meant,This,led,DYNAMIC,['DYNAMIC'],participant
141,"that foreign facilities were more modern and efficient than any plants in America,","that foreign facilities were more modern and efficient than any plants in America,",were,facilities,,STATIVE,['STATIVE'],
142,and therefore were able to export a more competitive product.,and therefore were able to export a more competitive product.,were,facilities,,STATIVE,['DYNAMIC'],
143,Foreign steel also became much cheaper.,Foreign steel was also much cheaper.,was,steel,became,DYNAMIC,['DYNAMIC'],becoming
144,"Wage hikes, although they signified improved living conditions of steel workers in the US,","Wage hikes, although they helped to improve living conditions of steel workers in the US,",helped,made,signified,STATIVE,['DYNAMIC'],descriptive
145,made American steel far more expensive.,made American steel far more expensive.,made,hikes,,DYNAMIC,['DYNAMIC'],
146,"Also, international competitors drew on a large supply of very cheap labor.","Also, international competitors drew on a large supply of very cheap labor.",drew,competitors,drew,DYNAMIC,['STATIVE'],participant
147,"Other steel-exporting countries simply didn't offer enough jobs,","Jobs were scarce in other steel-exporting countries,",were,Jobs,offer,DYNAMIC,['DYNAMIC'],participant
148,and labor laws were either non-existent or allowed employers to pay much less for work.,and labor laws were either non-existent or allowed employers to pay much less for work.,were,laws,,STATIVE,['STATIVE'],
149,"Labor costs in America appeared to continually rise,","Labor costs in America continued to go up,",continued,costs,appear,STATIVE,['DYNAMIC'],descriptive
150,"draining US companies of their resources,","draining US companies of their resources,",draining,,,DYNAMIC,['DYNAMIC'],
151,while companies overseas were able to cut labor costs,while companies overseas were able to cut labor costs,were,companies,,STATIVE,['DYNAMIC'],
152,and put that money back into updating and renovating their facilities.,and put that money back into updating and renovating their facilities.,put,companies,,DYNAMIC,['DYNAMIC'],
153,"On a worldwide scale, newer materials such as aluminum, plastic, and composites seemed to be substitutions for steel both at home and abroad.","On a worldwide scale, newer materials such as aluminum, plastic, and composites were beginning to substitute steel both at home and abroad.",beginning,materials,seemed,STATIVE,['DYNAMIC'],descriptive
154,Steel demand worldwide were having shortages ,"Steel demand worldwide was beginning to decline,",beginning,demand,having,STATIVE,['DYNAMIC'],light_verb
155,and it affected both domestic and foreign companies.,and it affected both domestic and foreign companies.,affected,demand,,DYNAMIC,['DYNAMIC'],
156,"However, to American companies already suffering financial setbacks, outdated machinery, and fierce competition, this lack of demand became an inconvenience","However, to American companies already suffering financial setbacks, outdated machinery, and fierce competition, this lack of demand was an inconvenience",was,lack,became,DYNAMIC,['DYNAMIC'],becoming
157,they could not afford.,they could not afford.,afford,they,,STATIVE,['DYNAMIC'],
158,"America’s steel found no buyers,","Americas steel remained unsold,",remained,steel,found,DYNAMIC,['DYNAMIC'],participant
159,flooding the world market with inferior products,flooding the world market with inferior products,flooding,steel,,DYNAMIC,['DYNAMIC'],
160,that no one wanted to buy.,that no one wanted to buy.,wanted,one,,STATIVE,['DYNAMIC'],
161,"Since this problem yielded national consequences rather than local ones, the problems","Since this problem was a national one rather than a local one, the problems",was,problem,yielded,DYNAMIC,['STATIVE'],participant
162,that were occurring in Youngstown were not unique.,that were occurring in Youngstown were not unique.,were,problems,,STATIVE,['STATIVE'],
163,"Youngstown was perhaps more desolate than any other town because of the collapse of the steel industry,","Youngstown was perhaps hit harder than any other town by the collapse of the steel industry,",hit,Youngstown,was,STATIVE,['STATIVE'],copula
164,but it was not alone.,but it was not alone.,was,it,,STATIVE,['STATIVE'],
165,The nationwide problem addressed many more mills and issues than Youngstown’s alone.,"The problem was a national one, involving many more mills and issues than Youngstowns alone.",was,problem,addressed,DYNAMIC,['DYNAMIC'],participant
166,"J. Philip Richley, a union member and organizer of many attempts to save the mills, had this to say after:","J. Philip Richley, a union member and organizer of many attempts to save 5the mills, has summed it up thus:",save,attempts,had,STATIVE,['DYNAMIC'],light_verb
167,“It is impossible to solve a nation-wide problem in a single city.”,You just cant solve a nation-wide problem in a single city.,“,”,,STATIVE,['STATIVE'],
168,The decline of the world steel market included not just in Youngstown but the entire steel community in America.,The decline of the world steel market affected not just Youngstown but the entire steel community in America.,affected,decline,included,STATIVE,['DYNAMIC'],descriptive
169,Trying to prop up one city’s mills appeared impossible,Trying to prop up one citys mills was impossible,was,Trying,appeared,DYNAMIC,['DYNAMIC'],descriptive
170,when faced with the depression,when faced with the depression,faced,,,DYNAMIC,['DYNAMIC'],
171,that spread throughout the entire industry.,that spread throughout the entire industry.,spread,depression,,DYNAMIC,['DYNAMIC'],
172,The Save Our Valley Campaign: Lack of Funds and Plans,The Save Our Valley Campaign: Lack of Funds and Plans,,,,CANNOT_DECIDE,['CANNOT_DECIDE'],
173,"Eventually, some religious leaders involved in the Ecumenical Coalition, along with community members and former steel mill employees, agreed to form the Save Our Valley Campaign.","Eventually, some religious leaders involved in the Ecumenical Coalition joined forces within community members and former steel mill employees to create the Save Our Valley Campaign.",joined,Campaign,agreed,STATIVE,['DYNAMIC'],thought
174,"In naming the campaign as such,","As the name suggests,",suggests,name,naming,DYNAMIC,['DYNAMIC'],participant
175,"local leaders wanted to instill the people of Youngstown with a fierce sense of urgency,","local leaders wanted to instill the people of Youngstown with a fierce sense of urgency,",wanted,leaders,,STATIVE,['STATIVE'],
176,driving them forward to confront steel companies and owners,driving them forward to confront steel companies and owners,driving,,,DYNAMIC,['DYNAMIC'],
177,and help secure the future of the region.,and help secure the future of the region.,help,,,DYNAMIC,['CANNOT_DECIDE'],
178,"Marches, speeches, and letter writing were all part of the drive to help stimulate the Campaign","Marches, speeches, and letter writing were all employed to help stimulate the Campaign",employed,speeches,were,STATIVE,['STATIVE'],copula
179,and rally the people.,and rally the people.,rally,,,CANNOT_DECIDE,['CANNOT_DECIDE'],
180,But the Campaign felt that there were heavy losses from the lack of proper funding.,But the Campaign was bogged down heavily by the lack of proper funding.,bogged,Campaign,felt,STATIVE,['DYNAMIC'],thought
181,"The unemployed people of Youngstown, being now unemployed couldn’t spend on anything but staying alive.","The people of Youngstown, being now unemployed had very little money to spend on anything but staying alive.",unemployed,people,spend,DYNAMIC,['STATIVE'],participant
182,"College tuition, clothes, food, and heating were all prioritized before donations to non-profit organizations.","College tuition, clothes, food, and heating all had to come before donations to non-profit organizations.",had,all,prioritized,DYNAMIC,['DYNAMIC'],participant
183,"People outside of the area decided not to personally invest in the mills,","People outside of the area had no personal investment in the mills,",had,People,decided,DYNAMIC,['DYNAMIC'],participant
184,and so it was difficult to convince anyone from out of the county to contribute funds.,and so it was difficult to convince anyone from out of the county to contribute funds.,was,it,,STATIVE,['DYNAMIC'],
185,"The lack of money became crippling,","The lack of money proved to be crippling,",proved,lack,became,DYNAMIC,['DYNAMIC'],becoming
186,because it prevented the organizations involved from purchasing the mills to run collectively.,because it prevented the organizations involved from purchasing the mills to run collectively.,prevented,it,,DYNAMIC,['DYNAMIC'],
187,"Without funds, the Save Our Valley Campaign had no power to help salvage the city’s dying economy.","Without funds, the Save Our Valley Campaign could do nothing major to help salvage the citys dying economy.",do,Campaign,had,STATIVE,['DYNAMIC'],light_verb
188,The Save Our Valley Campaign also did not consider one essential component: an actual concrete plan.,The Save Our Valley Campaign also lacked one essential component: an actual concrete plan.,lacked,Campaign,consider,DYNAMIC,['STATIVE'],participant
189,No one had formed a concrete plan for,No one seemed to know,seemed,one,formed,DYNAMIC,['DYNAMIC'],participant
190,just how to go about fixing the problems.,just how to go about fixing the problems.,go,one,,CANNOT_DECIDE,['CANNOT_DECIDE'],
191,"Letters and petitions purportedly served their basic functions,","Letters and petitions were all very well,",were,petitions,served,DYNAMIC,['DYNAMIC'],participant
192,but they did little to improve the situation.,but they did little to improve the situation.,did,all,,DYNAMIC,['DYNAMIC'],
