,Clause,origClause,mainVerb,mainReferent,contrastVerb,Contrast,predictions,Strategy
24,the player or the dealer wins by having a score of 21 or by having the highest score,the player or the dealer wins by having a score of 21 or by having the highest score,wins,dealer,,DYNAMIC,['DYNAMIC'],
25,that is less than 21.,that is less than 21.,is,score,,STATIVE,['STATIVE'],
26,Having a score higher than 21,Scoring higher than 21,Scoring,,Having,STATIVE,['STATIVE'],LIGHT VERB
27,"(called ""busting""","(called ""busting""",called,,,STATIVE,['CANNOT_DECIDE'],
28,"or ""going bust"") results in a loss.","or ""going bust"") results in a loss.",results,Scoring,,DYNAMIC,['DYNAMIC'],
29,A player having any final score equal to or less than 21 means that they win if the dealer busts.,A player may win by having any final score equal to or less than 21 if the dealer busts.,win,player,having,STATIVE,['DYNAMIC'],LIGHT VERB
30,If a player sees an ace,If a player holds an ace,holds,player,sees,DYNAMIC,['DYNAMIC'],NEW PARTICIPANT
31,"valued as 11, the hand is called ""soft"",","valued as 11, the hand is called ""soft"",",called,hand,,STATIVE,['STATIVE'],
32,meaning,meaning,meaning,,,STATIVE,['CANNOT_DECIDE'],
33,that the player cannot go bust by taking an additional card;,that the player cannot go bust by taking an additional card;,go,player,,DYNAMIC,['DYNAMIC'],
34,Players add 11 plus the value of any other card to get less than or equal to 21 .,11 plus the value of any other card will always be less than or equal to 21.,be,11,add,DYNAMIC,['DYNAMIC'],NEW PARTICIPANT
35,"Otherwise, the hand is treated as ""hard"".","Otherwise, the hand is ""hard"".",is,hand,treated,DYNAMIC,['STATIVE'],NEW PARTICIPANT
36,The dealer is asked to take hits,The dealer has to take hits,has,dealer,asked,DYNAMIC,['DYNAMIC'],NEW PARTICIPANT
37,until his or her cards total 17 or more points.,until his or her cards total 17 or more points.,,,,STATIVE,['DYNAMIC'],
38,"(In some casinos, the dealer also can have hits on a ""soft"" 17—e.g., an initial ace and six.)","(In some casinos, the dealer also hits on a ""soft"" 17e.g., an initial ace and six.)",hits,dealer,,STATIVE,['DYNAMIC'],
39,It is agreed that players win,Players win,win,Players,agreed,STATIVE,['DYNAMIC'],THOUGHT VERB
40,if they do not bust,if they do not bust,bust,they,,DYNAMIC,['DYNAMIC'],
41,and have a total,and have a total,have,they,,STATIVE,['STATIVE'],
42,that is higher than the dealer's.,that is higher than the dealer's.,is,total,,STATIVE,['STATIVE'],
43,It is agreed that the dealer loses,The dealer loses,loses,dealer,agreed,STATIVE,['DYNAMIC'],THOUGHT VERB
44,if he or she busts or has a lesser hand than the player,if he or she busts or has a lesser hand than the player,busts,she,,DYNAMIC,['DYNAMIC'],
45,who has not busted.,who has not busted.,busted,player,,DYNAMIC,['DYNAMIC'],
46,"If the player and dealer receive the same point total,","If the player and dealer have the same point total,",have,dealer,receive,DYNAMIC,['DYNAMIC'],NEW PARTICIPANT
47,"this is called a ""push"",","this is called a ""push"",",called,this,,STATIVE,['STATIVE'],
48,and the player typically does not win or lose money on that hand.,and the player typically does not win or lose money on that hand.,win,this,,DYNAMIC,['DYNAMIC'],
49,Many rule variations of blackjack are played.,Many rule variations of blackjack exist.,exist,variations,played,DYNAMIC,['DYNAMIC'],NEW PARTICIPANT
50,"Since the 1960s, blackjack has functioned as a high-profile target of advantage players, particularly card counters,","Since the 1960s, blackjack has been a high-profile target of advantage players, particularly card counters,",been,blackjack,functioned,DYNAMIC,['DYNAMIC'],INSERT VERB
51,who track the profile of cards,who track the profile of cards,track,target,,DYNAMIC,['STATIVE'],
52,that have been dealt,that have been dealt,dealt,cards,,DYNAMIC,['DYNAMIC'],
53,and adapt their wagers and playing strategies accordingly.,and adapt their wagers and playing strategies accordingly.,adapt,target,,DYNAMIC,['DYNAMIC'],
54,"Other casino games were inspired by blackjack, including Spanish 21 and pontoon.",Other casino games inspired by blackjack include Spanish 21 and pontoon.,include,games,inspired,DYNAMIC,['DYNAMIC'],UPGRADE
55,The recreational British card game of black jack functions as a shedding-type game and unrelated to the subject of this article.,The recreational British card game of black jack is a shedding-type game and unrelated to the subject of this article.,is,game,is,DYNAMIC,['STATIVE'],INSERT VERB
56,==History==,==History==,=,twenty-one,,CANNOT_DECIDE,['CANNOT_DECIDE'],
57,"Twenty-one, a game of unknown origin, evolved in the public opinion to be viewed as a predecessor to Blackjack.","Blackjack's precursor was twenty-one, a game of unknown origin.",was,,became,DYNAMIC,['DYNAMIC'],INSERT VERB
58,"The first written reference was discovered in a book by the Spanish author Miguel de Cervantes, most famous for writing Don Quixote.","The first written reference is found in a book by the Spanish author Miguel de Cervantes, most famous for writing Don Quixote.",found,reference,discovered,DYNAMIC,['DYNAMIC'],NEW PARTICIPANT
59,"Cervantes famously gambled,","Cervantes was a gambler,",was,Cervantes,gambled,DYNAMIC,['DYNAMIC'],INSERT VERB
60,"and the main characters of his tale Rinconete y Cortadillo, from Novelas Ejemplares, are a couple of cheats","and the main characters of his tale Rinconete y Cortadillo, from Novelas Ejemplares, are a couple of cheats",are,characters,,STATIVE,['STATIVE'],
61,working in Seville.,working in Seville.,working,cheats,,DYNAMIC,['STATIVE'],
62,They cheat frequently at ventiuna,They are proficient at cheating at ventiuna,are,They,cheat,DYNAMIC,['DYNAMIC'],INSERT VERB
63,"(Spanish for twenty-one), and state","(Spanish for twenty-one), and state",state,They,,STATIVE,['STATIVE'],
64,that the object of the game is to reach 21 points,that the object of the game is to reach 21 points,is,object,,STATIVE,['DYNAMIC'],
65,without going over,without going over,going,object,,CANNOT_DECIDE,['STATIVE'],
66,and that the ace values 1 or 11.,and that the ace values 1 or 11.,values,object,,STATIVE,['STATIVE'],
67,"The game contains the Spanish baraja deck,","The game is played with the Spanish baraja deck,",played,game,contains,STATIVE,['STATIVE'],DESCRIPTIVE VERB
68,"which lacks eights, nines and tens.","which lacks eights, nines and tens.",lacks,deck,,STATIVE,['STATIVE'],
69,"This short story first existed between 1601 and 1602,","This short story was written between 1601 and 1602,",written,story,existed,STATIVE,['DYNAMIC'],DESCRIPTIVE VERB
70,implying,implying,implying,,,STATIVE,['CANNOT_DECIDE'],
71,that ventiuna was played in Castilla since the beginning of the 17th century or earlier.,that ventiuna was played in Castilla since the beginning of the 17th century or earlier.,played,ventiuna,,DYNAMIC,['DYNAMIC'],
72,Later references to this game were also recorded in France and Spain.,Later references to this game are found in France and Spain.,found,references,recorded,DYNAMIC,['DYNAMIC'],NEW PARTICIPANT
73,"When twenty-one was introduced in the United States, players loved flocking to gambling houses due to the bonus payouts they were offered there.","When twenty-one was introduced in the United States, gambling houses offered bonus payouts to stimulate players' interest.",offered,houses,introduced,STATIVE,['DYNAMIC'],THOUGHT VERB
74,One such bonus became a ten-to-one payout,One such bonus was a ten-to-one payout,was,bonus,became,DYNAMIC,['DYNAMIC'],BECOMING
75,if the player's hand consisted of the ace of spades and a black jack (either the jack of clubs or the jack of spades).,if the player's hand consisted of the ace of spades and a black jack (either the jack of clubs or the jack of spades).,consisted,hand,,STATIVE,['DYNAMIC'],
76,"This hand was christened a ""blackjack""","This hand was called a ""blackjack""",called,hand,christened,DYNAMIC,['STATIVE'],NEW PARTICIPANT
77,"and the name stuck to the game,","and the name stuck to the game,",stuck,name,,DYNAMIC,['DYNAMIC'],
78,even though the ten-to-one bonus was soon withdrawn.,even though the ten-to-one bonus was soon withdrawn.,withdrawn,bonus,,DYNAMIC,['DYNAMIC'],
79,"In the modern game, any hand of an ace plus a ten or face card, regardless of suits or colours, operates as the eponymous blackjack.","In the modern game, a blackjack refers to any hand of an ace plus a ten or face card, regardless of suits or colours.",refers,blackjack,operates,DYNAMIC,['STATIVE'],NEW PARTICIPANT
80,==Rules of play at casinos==,==Rules of play at casinos==,,,,CANNOT_DECIDE,['CANNOT_DECIDE'],
81,"At a casino blackjack table, the dealer agrees to face five to seven playing positions from behind a semicircular table.","At a casino blackjack table, the dealer faces five to seven playing positions from behind a semicircular table.",faces,dealer,agrees,STATIVE,['DYNAMIC'],THOUGHT VERB
82,The shuffling involves one to eight standard 52-card decks.,Between one and eight standard 52-card decks are shuffled together.,shuffled,decks,,STATIVE,['DYNAMIC'],DESCRIPTIVE VERB
83,"At the beginning of each round, up to three players need to place their bets in the ""betting box"" at each position in play.","At the beginning of each round, up to three players place their bets in the ""betting box"" at each position in play.",place,players,need to,STATIVE,['DYNAMIC'],SEMI-MODAL
84,"The player whose bet is at the front of the betting box controls the position,","The player whose bet is at the front of the betting box is deemed to have control over the position,",deemed,player,controls,DYNAMIC,['DYNAMIC'],NEW PARTICIPANT
85,and the dealer will consult the controlling player for playing decisions regarding the hand;,and the dealer will consult the controlling player for playing decisions regarding the hand;,consult,player,,DYNAMIC,['DYNAMIC'],
86,"the other players of that box are said to ""play behind"".","the other players of that box are said to ""play behind"".",said,players,,STATIVE,['DYNAMIC'],
87,Any player controls or bets in as many boxes,Any player is usually allowed to control or bet in as many boxes,allowed,player,controls or bets,DYNAMIC,['DYNAMIC'],NEW PARTICIPANT
88,"as desired at a single table,","as desired at a single table,",desired,,,CANNOT_DECIDE,['DYNAMIC'],
89,but it is prohibited,but it is prohibited,prohibited,player,,STATIVE,['STATIVE'],
90,for an individual to play on more than one table at a time,for an individual to play on more than one table at a time,play,individual,,CANNOT_DECIDE,['CANNOT_DECIDE'],
91,or to place multiple bets within a single box.,or to place multiple bets within a single box.,place,individual,,CANNOT_DECIDE,['DYNAMIC'],
92,"In many U.S. casinos, however, players only play two or three positions at a table","In many U.S. casinos, however, players are limited to playing two or three positions at a table",limited,players,play,DYNAMIC,['DYNAMIC'],NEW PARTICIPANT
93,and often only one person is allowed to bet on each position.,and often only one person is allowed to bet on each position.,allowed,players,,STATIVE,['DYNAMIC'],
94,The dealer knows to deal cards from his/her left,The dealer deals cards from his/her left,left,cards,knows,STATIVE,['DYNAMIC'],THOUGHT VERB
95,"(the position on the dealer's far left is often referred to as ""first base"") to her far right (""third base"").","(the position on the dealer's far left is often referred to as ""first base"") to her far right (""third base"").",referred,position,,DYNAMIC,['STATIVE'],
96,Each box possesses an initial hand of two cards visible to the people,Each box is dealt an initial hand of two cards visible to the people,dealt,box,possesses,STATIVE,['STATIVE'],DESCRIPTIVE VERB
97,"playing on it, and often to any other players.","playing on it, and often to any other players.",playing,people,,STATIVE,['DYNAMIC'],
98,"The dealer's hand has its first card face up,","The dealer's hand receives its first card face up,",receives,hand,has,STATIVE,['STATIVE'],LIGHT VERB
99,"and in ""hole card"" games immediately receives its second card face down (the hole card),","and in ""hole card"" games immediately receives its second card face down (the hole card),",receives,hand,,DYNAMIC,['STATIVE'],
100,which the dealer peeks at,which the dealer peeks at,peeks,dealer,,DYNAMIC,['DYNAMIC'],
101,but does not reveal,but does not reveal,reveal,games,,DYNAMIC,['DYNAMIC'],
102,unless it makes the dealer's hand a blackjack.,unless it makes the dealer's hand a blackjack.,makes,it,,DYNAMIC,['STATIVE'],
103,Locations of hole card games usually resemble tables with a small mirror or electronic sensor,Hole card games are sometimes played on tables with a small mirror or electronic sensor,played,games,resemble,STATIVE,['STATIVE'],DESCRIPTIVE VERB
104,that is used to peek securely at the hole card.,that is used to peek securely at the hole card.,used,mirror,,DYNAMIC,['DYNAMIC'],
105,"In European casinos, ""no hole card"" games are often played;","In European casinos, ""no hole card"" games are prevalent;",are,games,played,DYNAMIC,['DYNAMIC'],INSERT VERB
106,the dealer's second card is neither drawn nor consulted,the dealer's second card is neither drawn nor consulted,drawn,card,,DYNAMIC,['DYNAMIC'],
107,until the players have all played their hands.,until the players have all played their hands.,played,players,,DYNAMIC,['DYNAMIC'],
108,"Cards appear either from one or two handheld decks, from a dealer's shoe, or from a shuffling machine.","Cards are dealt either from one or two handheld decks, from a dealer's shoe, or from a shuffling machine.",dealt,Cards,appear,STATIVE,['DYNAMIC'],DESCRIPTIVE VERB
109,"Single cards involve dealing to each wagered-on position clockwise from the dealer's left,","Single cards are dealt to each wagered-on position clockwise from the dealer's left,",dealt,cards,involve,STATIVE,['DYNAMIC'],DESCRIPTIVE VERB
110,"followed by a single card to the dealer,","followed by a single card to the dealer,",followed,position,,DYNAMIC,['CANNOT_DECIDE'],
111,followed by an additional card to each of the positions in play.,followed by an additional card to each of the positions in play.,followed,position,,DYNAMIC,['DYNAMIC'],
112,The players' initial cards need to consistently be dealt either face up,The players' initial cards may be dealt face up,dealt,cards,need to,STATIVE,['DYNAMIC'],SEMI-MODAL
113,or face down (more common in single-deck games).,or face down (more common in single-deck games).,face,,,CANNOT_DECIDE,['DYNAMIC'],
